Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Langusta (syrová);310;15;0.3;1;0;0;0;0.15;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Lín (syrový);330;18;0.3;1;0;0;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Losos průměr (syrový);850;22;3.4;12;0;0;0;0.12;Tučné ryby můžete občas v malém množství konzumovat, ve větším množství však do jídelníčku zařazujte méně tučné ryby, například halibuta nebo tresku.
Makrela (syrová);750;18;3.4;12;0;0;0;0.2;Tučné ryby můžete občas v malém množství konzumovat, ve větším množství však do jídelníčku zařazujte méně tučné ryby, například halibuta nebo tresku.
Mečoun (syrový);500;19;1.4;5;0;0;0;0.2;Občas můžete do jídelníčku zařadit i tučnější mořské ryby, které obsahují více zdraví prospěšných omega 3 mastných kyselin.
Mořský ďas (syrový);320;14;0.6;2;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Mořský jazyk (syrový);340;18;0.3;1;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Mušle (syrové);310;13;0.3;1;0;3;0;0.9;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Okoun (syrový);420;19;0.8;3;0;0;0;0.18;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Oliheň (syrová);390;16;0.3;1;0;3;0;0.11;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Pangasius (syrový);390;17;0.3;1;0;4;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Platýz (syrový);340;18;0.3;1;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Pstruh (syrový);600;18;2;7;0;0;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Rak (syrový);270;13;0.3;1;0;0;0;0.15;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Sépie (syrová);320;16;0.3;1;0;1;0;0.5;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Slávky (syrové);220;11;0.3;1;0;0;0;0.7;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Sleď (syrový);700;18;2.8;10;0;0;0;0.2;Tučné ryby můžete občas v malém množství konzumovat, ve větším množství však do jídelníčku zařazujte méně tučné ryby, například halibuta nebo tresku.
Sumec (syrový);500;16;1.7;6;0;0;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Škeble (syrové);290;12;0.3;1;0;2;0;0.8;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Štika (syrová);360;19;0.3;1;0;0;0;0.12;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Treska (syrová);340;18;0.3;1;0;0;0;0.16;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Tuňák (syrový);600;23;1.3;6;0;0;0;0.1;
Úhoř (syrový);1000;19;4.8;17;0;0;0;0.12;Úhoře nahraďte raději nějakou méně tučnou rybou.
Ústřice (syrové);280;7;0.6;2;0;5;0;0.27;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Žralok (syrový);550;21;1.4;5;0;0;0;0.2;Občas můžete do jídelníčku zařadit i tučnější mořské ryby, které obsahují více zdraví prospěšných omega 3 mastných kyselin.
Ančovičky v oleji;860;28;2.8;10;0;0;0;15;Vhodnější jsou rybí výrobky ve vlastní šťávě, které obsahují méně tuku a mají tudíž nižší energetickou hodnotu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Filé z tresky (mražené);330;17;0.3;1;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Filé z tresky obalované (mražený polotovar);540;13;0.3;1;1;17;1;0.9;Vhodnější alternativou je přírodní neobalovaná treska, která obsahuje méně tuku a sacharidů. Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Herinek v oleji;1380;15;7.8;28;0.3;1;0;1;Vhodnější jsou rybí výrobky ve vlastní šťávě, které obsahují méně tuku a mají tudíž nižší energetickou hodnotu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Kalamáry kroužky obalované (mražený polotovar);740;7;1.7;6;1.3;22;1.2;0.9;Vhodnější alternativou jsou neobalované kalamáry, které obsahují méně tuku a sacharidů a naopak více bílkovin. Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Kaviár;1060;25;4;16;0.6;2;0;3;
Losos filety bez kůže (mražené);720;21;2.8;9;0;0;0;0.2;Tučné ryby můžete občas v malém množství konzumovat, ve větším množství však do jídelníčku zařazujte méně tučné ryby, například tresku.
Losos filety v oleji;950;20;4.5;16;0;0;0;0.8;Vhodnější jsou rybí výrobky ve vlastní šťávě, které obsahují méně tuku a mají tudíž nižší energetickou hodnotu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Losos filety ve vlastní šťávě;730;22;2.5;10;0;0;0;0.8;Tento výrobek můžete občas zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Losos uzený;850;21;3.4;12;0.4;2;0;3.6;Vhodnější je čerstvý losos, který neobsahuje vysoké množství soli.
Lososový krém Paté (Rio Mare);884;10.5;2.2;17;0.1;4.5;0;2.1;Lepší variantou jsou vhodně upravené čerstvé ryby.
Mahi Mahi steaky (mražené);450;24;0.3;1;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Makrela uzená;1100;20;5.5;20;0;0;0;1.3;Lepší variantou jsou vhodně upravené čerstvé ryby, které neobsahují vysoké množství soli.
Makrela ve vlastní šťávě;830;15;4.2;15;0;0;0;1.6;Tento výrobek můžete zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Matjesy v oleji;1900;13;5.3;44;0.3;1;0;2.5;Vhodnější jsou rybí výrobky ve vlastní šťávě, které obsahují méně tuku a mají tudíž nižší energetickou hodnotu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Mořské plody (mražená směs);240;10;0.3;1;0.4;2;0;0.6;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Mořský jazyk v rajčatové omáčce;560;14;1.7;6;3;6;0;0.8;Lepší variantou jsou vhodně upravené čerstvé ryby.
Nugety z lososa (mražený polotovar);1070;15;3.9;14;1;17;0.5;1.4;Vhodnější alternativou je přírodní neobalovaný losos, který obsahuje méně tuku a sacharidů.
Pangasius filety (mražené);250;15;0;0;0;0;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Pečenáče;1040;17;3.9;18;3;3.5;0.2;1.3;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Pepřenky;1100;9;2;25;1.5;2;0.5;2;Vhodnější jsou výrobky ze sleďů, které neobsahují přidaný olej, například sleď v octovém nálevu nebo sleďové závitky v rosolu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Rybí pomazánka (Korado);1290;10.6;13.6;27.1;2.2;3.1;0.5;1.5;Tuto pomazánku můžete výjimečně v malém množství konzumovat, vhodnější je však připravit si vlastní pomazánku. Při přípravě vynechte pomazánkové máslo (popř. použijte malé množství kvalitního margarinu) a místo majonézy použijte nízkotučný nebo polotučný bílý jogurt nebo tvaroh. Pomazánku konzumujte s malým množstvím celozrnného pečiva a větším množstvím zeleniny.
Rybí prsty předsmažené (mražený polotovar);920;12;2;10;1;20;0;0.9;Vhodnější alternativou je přírodní neobalovaná treska či jiná ryba, která obsahuje méně tuku a sacharidů. Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Rybí salát s jogurtem;630;6;3.4;12;2.8;4;0.4;1.5;Raději si doma připravte vlastní salát, místo majonézy použijte jogurt a přidejte více zeleniny.
Rybí salát s majonézou;1100;8;6.4;23;2.8;4;0;1.5;Raději si doma připravte vlastní salát, místo majonézy použijte jogurt a přidejte více zeleniny. Trochu lepší složení má rybí salát s jogurtem, i ten však obsahuje majonézu a není zcela vhodný.
Sardelová pasta;1010;7;6.7;24;0;0;0;24.3;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Sardinky v oleji;950;20;4.5;16;0;0;0.6;1;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Sardinky v tomatě;530;13;1.7;6;2;4;0;1;Tento výrobek můžete zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Sardinky ve vlastní šťávě;720;21;1.3;9;0;0;0;1;Tento výrobek můžete občas zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Sleď marinovaný v octovém nálevu;390;16;0.8;3;0;0;0;2;Tento výrobek můžete zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Sleď v rajčatové omáčce;750;14;2.4;12;2;3;0;0.9;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Sleďové filety v oleji;1070;13;6.2;22;0.3;1;0;1;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Sleďové závitky v rosolu;500;14;1.4;5;1.5;3;0;2.3;Tento výrobek můžete zařazovat do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Surimi salát a la krab;1240;8;7.3;26;4.2;6;0;3.1;Raději si doma připravte vlastní salát, místo majonézy použijte jogurt. Trochu lepší složení má surimi salát s jogurtem, i ten však obsahuje majonézu a není zcela vhodný.
Surimi salát s jogurtem;780;8;4.2;15;4.2;6;0;1.8;Raději si doma připravte vlastní salát, místo majonézy použijte jogurt.
Surimi tyčinky s krabí příchutí;550;7;1.1;4;3.6;18;0;1.5;Tento výrobek můžete zařadit do jídelníčku, vhodnější jsou však jiné výrobky, které obsahují více prospěšných látek, například rybí výrobky ve vlastní šťáve. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Šproty uzené;770;20;3.1;11;0;0;0;1.5;Vhodnější jsou výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Tresčí játra ve vlastním oleji;2100;9;10;50;0.4;3;0.9;0.8;Vhodnější jsou výrobky, které obsahují méně tuku a neobsahují žádný přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Tuňák v oleji (po odkapání);830;22;2.2;12;0;0;0;1.2;Tento výrobek můžete občas v malém množství konzumovat, vhodnější jsou však výrobky, které neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Tuňák v rajčatové omáčce;510;16;1;3.5;3;6;0;1.2;Tento výrobek můžete zařazovat do jídelníčku, můžete ho nahradit například tuňákem ve vlastní šťávě. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Tuňák ve vlastní šťávě;420;23;0.3;1;0;0;0;1.2;Tento výrobek můžete zařazovat do jídelníčku. Ještě lepší variantou jsou vhodně upravené čerstvé ryby.
Tuňák Per Pasta alla Puttanesca (Rio Mare);1020;11;3.8;21;1;2;0;1.1;Vhodnější je připravit si vlastní směs pro přípravu těstovin, použijte tuňáka ve vlastní šťávě, kapku kvalitního oleje a větší množství zeleniny.
Tuňák Per Pasta s česnekem a feferonkou (Rio Mare);1470;18;5.1;30;0.5;1;0;1.1;Vhodnější je připravit si vlastní směs pro přípravu těstovin, použijte tuňáka ve vlastní šťávě, kapku kvalitního oleje a větší množství zeleniny.
Tuňák Per Pasta s rajčaty a bazalkou (Rio Mare);630;11;1.9;11;1;2;0;1.1;Vhodnější je připravit si vlastní směs pro přípravu těstovin, použijte tuňáka ve vlastní šťávě, kapku kvalitního oleje a větší množství zeleniny.
Tuňákové kousky drcené Sandwich;1040;19;3.4;19;0.2;0.5;0;1.1;Vhodnější jsou výrobky, které obsahují celé kousky tuňáka a ideálně neobsahují přidaný tuk, například rybí výrobky ve vlastní šťávě nebo v octovém nálevu. Nejlepší volbou jsou však vhodně upravené čerstvé ryby.
Tuňákové steaky (mražené);470;21;0.8;3;0;0;0;0.2;Tento výrobek můžete zařazovat do jídelníčku. Ještě lepší variantou jsou vhodně upravené čerstvé ryby.
Tuňákový krém Paté (Rio Mare);982;13.5;2.4;18.5;0.1;4;0;1.5;Lepší variantou jsou vhodně upravené čerstvé ryby.
Tuňákový salát Insalatissime (Rio Mare) průměr;820;10;1.7;13;2;10;0;1.5;Tento výrobek můžete výjimečně konzumovat jako hlavní jídlo. Vhodnější je však připravit si vlastní salát z tuňáka ve vlastní šťávě a většího množství zeleniny.
Tuňákový salát Insalatissime s kuskusem (Rio Mare);990;10.5;2;15;3;15;0;1.5;Tento výrobek můžete výjimečně konzumovat jako hlavní jídlo. Vhodnější je však připravit si vlastní salát z malého množství kuskusu, tuňáka ve vlastní šťávě a většího množství zeleniny.
Tuňák uzený;580;24;1.1;4;0;0;0;3.6;Lepší variantou jsou vhodně upravené čerstvé ryby, které neobsahují vysoké množství soli.
Uzenáč;490;16;1.7;6;0;0;0;2;Lepší variantou jsou vhodně upravené čerstvé ryby, které neobsahují vysoké množství soli.
Zavináče ze sleďů;500;11;2;7;2.5;3;0;2.3;Tento výrobek můžete občas zařadit do jídelníčku, ještě lepší alternativou jsou vhodně upravené čerstvé ryby.
Mléko kondenzované do kávy;570;7;4.7;7;10;10;0;0.2;Výjimečně si můžete v malém množství kondenzované mléko do kávy přidat, na trhu jsou i kondenzovaná mléka s nižším obsahem tuku, např. Tatra light, která jsou vhodnější. Ještě vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Mléko zahuštěné neslazené Condé;668;8;6.1;9;11.6;11.6;0;0.29;Výjimečně si můžete například do kávy v malém množství kondenzované mléko přidat, na trhu jsou i kondenzovaná mléka s nižším obsahem tuku, např. Tatra light, která jsou vhodnější. Ještě vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Pikao zahuštěné mléko slazené s kakaem;1343;8.5;5.3;8;53;53;0;0.25;Vhodnější je neslazené kondenzované mléko, které neobsahuje přidaný cukr. Ani to však díky vysokému obsahu tuku a energetické hodnotě není vhodné.
Piknik zahuštěné mléko ochucené;1355;7.5;5.3;8;55;55;0;0.25;Vhodnější je neslazené kondenzované mléko, které neobsahuje přidaný cukr. Ani to však díky vysokému obsahu tuku a energetické hodnotě není vhodné.
Salko zahuštěné mléko karamelizované;1355;7.5;5.2;8;55;55;0;0.25;Vhodnější je neslazené kondenzované mléko, které neobsahuje přidaný cukr. Ani to však díky vysokému obsahu tuku a energetické hodnotě není vhodné.
Salko zahuštěné mléko slazené;1355;7.5;5.3;8;55;55;0;0.25;Vhodnější je neslazené kondenzované mléko, které neobsahuje přidaný cukr. Ani to však díky vysokému obsahu tuku a energetické hodnotě není vhodné.
Tatra Classic 7,5 % tuku;555;6.7;5.1;7.5;9.7;9.7;0;0.2;Výjimečně si můžete například do kávy v malém množství kondenzované mléko přidat, na trhu jsou i kondenzovaná mléka s nižším obsahem tuku, např. Tatra light, která jsou vhodnější. Ještě vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Tatra grand 9 % tuku;668;8;6.1;9;11.6;11.6;0;0.25;Výjimečně si můžete například do kávy v malém množství kondenzované mléko přidat, na trhu jsou i kondenzovaná mléka s nižším obsahem tuku, např. Tatra light, která jsou vhodnější. Ještě vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Tatra light 4 % tuku;430;7;2.7;4;10;10;0;0.2;Občas si můžete například do kávy v malém množství kondenzované mléko přidat. Vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Tesco Zahuštěné mléko neslazené;556;6.7;5.1;7.5;9.7;9.7;0;0.3;Výjimečně si můžete například do kávy v malém množství kondenzované mléko přidat, na trhu jsou i kondenzovaná mléka s nižším obsahem tuku, např. Tatra light, která jsou vhodnější. Ještě vhodnější je však klasické mléko, ideálně polotučné nebo odstředěné, které má výrazně nižší energetickou hodnotu.
Mléko sušené odstředěné (suchý stav);1550;35;2;3;50;50;1;0.9;Vhodnější je klasické mléko, pokud ho však nemůžete z nějakých důvodů použít, může vám sušené mléko posloužit jako náhrada.
Mléko sušené polotučné (suchý stav);1800;31;9.5;14;44;44;1;0.9;Vhodnější je klasické mléko, pokud ho však nemůžete z nějakých důvodů použít, může vám sušené mléko posloužit jako náhrada.
Mléko sušené plnotučné (suchý stav);2070;30;16.9;25;37;37;1;0.9;Vhodnější je klasické mléko, pokud ho však nemůžete z nějakých důvodů použít, může vám sušené mléko posloužit jako náhrada. Vhodnější je mléko odstředěné nebo polotučné, které má díky nižšímu obsahu tuku nižší i energetickou hodnotu.
Smetana do kávy sušená (suchý stav);2200;2;20.3;30;60;60;1;0.9;
Syrovátka sušená (suchý stav);1530;13;0.3;0.5;68;76;1;2.8;
Syrovátka linie sušená (suchý stav);1360;22;2.2;5.3;44;46;6.2;2.6;
Bohemilk sušené mléko plnotučné (suchý stav);2065;27;17.6;26;38;38;1;0.82;Vhodnější je klasické mléko, pokud ho však nemůžete z nějakých důvodů použít, může vám sušené mléko posloužit jako náhrada. Vhodnější je mléko odstředěné nebo polotučné, které má díky nižšímu obsahu tuku nižší i energetickou hodnotu.
Bohemilk sušené mléko polotučné (suchý stav);1800;31;9.5;14;44;44;1;1;Vhodnější je klasické mléko, pokud ho však nemůžete z nějakých důvodů použít, může vám sušené mléko posloužit jako náhrada.
Coffeeta instantní smetana (suchý stav);2130;0.9;22.8;24;20;72;1;0.38;Vhodnější složení má klasická smetana, ještě lepší je místo smetany použít mléko, které obsahuje mnohem méně tuku.
Bílek (syrový);205;10.9;0.1;0.2;0.5;1;0;0.41;
Vejce celé (syrové);590;12.6;3;9.5;0.4;1;0;0.3;Vejce je vhodné v přiměřeném množství zařazovat do jídelníčku. Při redukční dietě je vhodné upravit klasické recepty tak, že na jeden žloutek použijete více bílků, sníží se tak obsah tuku a energetická hodnota pokrmu.
Vejce celé (vařené natvrdo);630;12.6;3.7;10.6;0.7;1.1;0;0.3;Vejce je vhodné v přiměřeném množství zařazovat do jídelníčku. Při redukční dietě je vhodné upravit klasické recepty tak, že na jeden žloutek použijete více bílků, sníží se tak obsah tuku a energetická hodnota pokrmu.
Žloutek (syrový);1220;15;6.7;25;0.3;2;0;0.14;Při redukční dietě je vhodné upravit klasické recepty tak, že na jeden žloutek použijete více bílků, sníží se tak obsah tuku a energetická hodnota pokrmu.
Bílek sušený;1500;78;0.1;0.4;3.2;9;0;2.8;
Shmaky/Eggcheese original;210;11.8;0.1;0.2;0.2;0.3;0.6;0.7;Podobné složení má také výrobek Šmakoun.
Shmaky/Eggcheese uzený;210;10.4;0.1;0.4;0.5;1.1;0.7;1.2;Podobné složení má také výrobek Šmakoun.
Šmakoun klikva & goji;382;14;0.1;0.4;7.4;10.2;2.6;0.4;
Šmakoun hlíva ústřičná;317;14;0.2;0.4;0.8;2;3.5;0.57;Tento výrobek můžete nahradit Šmakounem Mexico, s hovězí příchutí nebo výrobkem Shmaky, který má obdobné složení.
Šmakoun meruňka;398;14;0.1;0.3;3.3;8;3.1;0.4;
Šmakoun Mexico;440;12.1;0.8;2.6;1.6;7.2;1.9;1.2;Tento výrobek můžete nahradit Šmakounem s hlívou ústřičnou, s hovězí příchutí nebo výrobkem Shmaky, který má obdobné složení.
Šmakoun klasik;282;14;0.1;0.2;0;2.6;2.5;0.57;Tento výrobek můžete nahradit Šmakounem Mexico nebo s hlívou ústřičnou, které mají výraznější chuť. Obdobné složení má také výrobek Shmaky.
Šmakoun švestka se skořicí;379;14;0.1;0.4;3.5;7.1;2.6;0.4;
Šmakoun uzený;282;14;0.1;0.2;0;2.6;2.5;0.57;Tento výrobek můžete nahradit Šmakounem Mexico nebo s hlívou ústřičnou, které mají výraznější chuť. Obdobné složení má také výrobek Shmaky.
Štíhlé nudle Šmakoun;418;14;0.1;0.3;0.2;9.2;1.5;0;Štíhlé nudle je vhodné zařazovat do jídelníčku. Jsou bohatým zdrojem bílkovin, proto již není nutné je kombinovat s dalším bílkovinným zdrojem (masem), ale je vhodnější je doplnit zeleninou.
Vajahit (suchá směs);1620;16;1.4;12;10.6;53;1;0;Občas můžete tuto směs využít, je vhodná zejména pro ty, kdo si hlídají příjem cholesterolu. Zdravý jedinec může používat klasické vejce, které je zdrojem řady prospěšných látek.
Vejce křepelčí;660;13;3.9;11;0;0;2;0;Křepelčí vejce můžete pro zpestření jídelníčku občas konzumovat. Nahradit ho můžete běžnějším vejcem slepičím, které má téměř shodné složení.
Jogurt bílý nízkotučný průměr;200;5;0.1;0.1;6;6;0;0.1;Nízkotučný bílý jogurt zařazujte do jídelníčku, můžete ho občas nahradit jogurtem polotučným, který má výrazně lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Jogurt bílý polotučný průměr;280;5;2;3;4;4;0;0.1;Polotučný jogurt můžete zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit jogurtem nízkotučným.
Jogurt bílý smetanový průměr;500;3;6.8;10;4;4;0;0.1;Vhodnější alternativou je polotučný bílý jogurt, který obsahuje výrazně méně tuku a energie.
Jogurt ovocný nízkotučný se sladidly průměr;190;4;0.3;0.5;7;7;0.2;0.1;Vhodnější je bílý jogurt, který neobsahuje žádné přídatné látky, pokud však máte chuť na sladké, je tento jogurt vhodnou variantou.
Jogurt ovocný nízkotučný slazený průměr;300;4;0.3;0.5;14;14;0.2;0.1;Při výběru jogurtu je důležitější sledovat obsah cukru než tuku, rozdíl mezi nízkotučným a polotučným jogurtem není tak významný. Proto raději volte jogurty light, které můžou být polotučné, ale neobsahují přidaný cukr, jsou vhodnější nežli nízkotučné jogurty s cukrem.
Jogurt ovocný polotučný se sladidly průměr;320;4;2;3;8;8;0.2;0.1;Vhodnější je bílý jogurt, který neobsahuje žádné přídatné látky, pokud však máte chuť na sladké, je tento jogurt vhodnou variantou.
Jogurt ovocný polotučný slazený průměr;400;4;2;3;13;13;0.2;0.1;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Jogurt ovocný smetanový průměr;600;4;5.4;8;14;14;0.2;0.1;Vhodnější alternativou je polotučný nebo nízkotučný bílý jogurt, do kterého si můžete přidat ovoce. Občas můžete konzumovat ovocné jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia bílá jogurt;288;4.5;2.1;3.4;5.1;5.1;0;0.15;Tento jogurt můžete zařazovat do jídelníčku.
Activia bílá 0 % jogurt;219;5.5;0.1;0.1;7.2;7.2;0;0.14;Tento jogurt je vhodné zařazovat do jídelníčku, můžete ho občas nahradit jogurtem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Activia sladká bílá jogurt;376;4.2;2;3.1;11.2;11.2;0;0.16;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Activia jogurt ovocný průměr;390;3.5;1.7;2.8;12.5;13;0.2;0.14;Raději vybírejte jogurty bez přidaného cukru, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
